Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2022,5,1,21.4,4.7,13.1,0.0,0
KRAKOW,2022,5,2,21.7,8.3,14.4,0.0,0
KRAKOW,2022,5,3,21.2,8.4,14.4,0.0,0
KRAKOW,2022,5,4,21.3,9.9,15.1,0.0,0
KRAKOW,2022,5,5,23.8,7.6,15.2,2.8,0
KRAKOW,2022,5,6,17.9,11.2,14.5,0.3,0
KRAKOW,2022,5,7,19.5,12.4,15.5,0.0,0
KRAKOW,2022,5,8,22.1,12.7,16.5,2.9,0
KRAKOW,2022,5,9,21.4,11.5,16.0,0.0,0
KRAKOW,2022,5,10,22.3,7.4,14.4,0.0,0
KRAKOW,2022,5,11,27.3,8.4,18.2,0.0,0
KRAKOW,2022,5,12,28.4,12.7,21.2,0.0,0
KRAKOW,2022,5,13,24.9,11.9,17.6,0.3,0
KRAKOW,2022,5,14,22.5,10.9,16.6,0.0,0
KRAKOW,2022,5,15,22.1,11.8,16.8,0.0,0
KRAKOW,2022,5,16,24.5,7.6,16.1,0.0,0
KRAKOW,2022,5,17,21.5,12.8,16.5,0.0,0
KRAKOW,2022,5,18,20.0,5.5,12.2,0.0,0
KRAKOW,2022,5,19,26.0,4.7,16.0,0.0,0
KRAKOW,2022,5,20,28.3,9.0,19.7,0.9,0
KRAKOW,2022,5,21,25.1,17.3,19.7,0.5,0
KRAKOW,2022,5,22,18.8,11.8,14.9,0.0,0
KRAKOW,2022,5,23,19.7,7.3,13.7,0.0,0
KRAKOW,2022,5,24,21.6,9.8,15.4,0.6,0
KRAKOW,2022,5,25,19.4,12.3,15.2,3.5,0
KRAKOW,2022,5,26,22.7,9.2,16.2,0.0,0
KRAKOW,2022,5,27,22.9,10.5,15.3,5.7,0
KRAKOW,2022,5,28,16.8,9.0,12.8,0.4,0
KRAKOW,2022,5,29,18.8,6.4,13.0,0.0,0
KRAKOW,2022,5,30,19.0,10.0,14.2,0.0,0
KRAKOW,2022,5,31,24.1,7.9,16.7,0.0,0
WARSZAWA,2022,5,1,19.6,6.0,12.5,0.0,0
WARSZAWA,2022,5,2,19.9,6.9,13.4,0.0,0
WARSZAWA,2022,5,3,18.0,9.5,13.1,0.0,0
WARSZAWA,2022,5,4,17.4,9.0,12.3,0.0,0
WARSZAWA,2022,5,5,21.4,5.9,13.4,0.0,0
WARSZAWA,2022,5,6,20.4,11.1,15.0,0.0,0
WARSZAWA,2022,5,7,21.3,8.9,15.2,0.0,0
WARSZAWA,2022,5,8,21.0,12.6,16.0,0.0,0
WARSZAWA,2022,5,9,18.4,7.4,12.6,0.0,0
WARSZAWA,2022,5,10,20.9,4.5,12.7,0.0,0
WARSZAWA,2022,5,11,25.9,9.1,17.6,0.0,0
WARSZAWA,2022,5,12,24.1,16.9,19.7,0.0,0
WARSZAWA,2022,5,13,21.8,10.8,15.4,0.0,0
WARSZAWA,2022,5,14,17.1,9.2,13.5,0.0,0
WARSZAWA,2022,5,15,18.9,9.5,14.0,0.0,0
WARSZAWA,2022,5,16,20.2,8.6,13.9,0.0,0
WARSZAWA,2022,5,17,18.0,8.7,12.6,0.0,0
WARSZAWA,2022,5,18,18.7,4.1,11.3,0.0,0
WARSZAWA,2022,5,19,24.7,5.7,16.0,0.0,0
WARSZAWA,2022,5,20,27.4,11.4,19.5,0.0,0
WARSZAWA,2022,5,21,21.9,13.6,16.2,0.0,0
WARSZAWA,2022,5,22,14.8,10.7,12.2,0.0,0
WARSZAWA,2022,5,23,19.9,9.5,14.1,0.0,0
WARSZAWA,2022,5,24,19.7,7.6,13.8,0.0,0
WARSZAWA,2022,5,25,17.5,12.0,14.4,0.0,0
WARSZAWA,2022,5,26,21.1,10.0,15.5,0.0,0
WARSZAWA,2022,5,27,17.0,13.2,14.3,0.0,0
WARSZAWA,2022,5,28,13.7,8.1,10.2,0.0,0
WARSZAWA,2022,5,29,17.6,8.7,12.6,0.0,0
WARSZAWA,2022,5,30,13.5,10.0,11.2,0.0,0
WARSZAWA,2022,5,31,20.8,7.3,14.2,0.0,0
