datePk;dateId;dateYear;dateYearISO;dateMonthYear;dateWeekYearISO;dateQuarterYear;dateMonth;dateDay;dateDaySuffix;dateWeekDay;dateWeekDayName;dateWeekDayNameShort;dateWeekDayNameFirstLetter;dateDayOfYear;dateWeekOfMonth;dateWeekOfYear;dateWeekOfYearISO;dateMonthName;dateMonthNameShort;dateMonthNameFirstLetter;dateQuarter;dateQuarterName;dateQuarterShort;dateIsWeekend;dateIsHolidayInd;dateWeekDayStartsMonday;dateWeekDayNamePL;dateMonthNamePL;dateWeekOfYearStartsMonday;firstDayWorkBefore;firstDayWorkAfter;firstDayNoHolidayNoSaturdayAfter;firstDayNoHolidayNoSundayAfter;firstDayNoHolidayNoSaturdayAfterData;firstDayNoSaturdayNoHolidayOrSundayHolidayName;firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday;firstDayNoSaturdayNoHolidayOrSundayHoliday;isThuHolyday;isFriHolyday;isSatHolyday;isWeekendParcelServiceBreakInd;courierBillingPeriodDateFk;courierBillingPeriodStartDateFk;courierBillingPeriodEndDateFk;xlsDate;dwhDateFrom;dwhDateTo;dwhCurrRec;dwhAuditCd;dwhAuditCp;dwhAuditMd;dwhAuditMp
20201004;2020-10-04;2020;2020;10.2020;T40-2020;Q4-2020;10;4;th;1;Sunday;SUN;S;278;2;41;40;October;OCT;O;4;Fourth;Qtr 4;1;0;7;Niedziela;Październik;40;20201002;20201005;20201005;20201005;20201005;MON;0;20201005;0;0;0;NULL;20201001;20201001;20201015;44108;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200810;2020-08-10;2020;2020;08.2020;T33-2020;Q3-2020;8;10;th;2;Monday;MON;M;223;3;33;33;August;AUG;A;3;Third;Qtr 3;0;0;1;Poniedziałek;Sierpień;33;20200807;20200811;20200811;20200811;20200811;TUE;0;20200811;0;0;0;NULL;20200801;20200801;20200815;44053;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200930;2020-09-30;2020;2020;09.2020;T40-2020;Q3-2020;9;30;th;4;Wednesday;WED;W;274;5;40;40;September;SEP;S;3;Third;Qtr 3;0;0;3;Środa;Wrzesień;40;20200929;20201001;20201001;20201001;20201001;THU;0;20201001;0;0;0;NULL;20200916;20200916;20200930;44104;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200521;2020-05-21;2020;2020;05.2020;T21-2020;Q2-2020;5;21;st;5;Thursday;THU;T;142;4;21;21;May;MAY;M;2;Second;Qtr 2;0;0;4;Czwartek;Maj;21;20200520;20200522;20200522;20200522;20200522;FRI;0;20200522;0;0;0;NULL;20200516;20200516;20200531;43972;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200527;2020-05-27;2020;2020;05.2020;T22-2020;Q2-2020;5;27;th;4;Wednesday;WED;W;148;5;22;22;May;MAY;M;2;Second;Qtr 2;0;0;3;Środa;Maj;22;20200526;20200528;20200528;20200528;20200528;THU;0;20200528;0;0;0;NULL;20200516;20200516;20200531;43978;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200606;2020-06-06;2020;2020;06.2020;T23-2020;Q2-2020;6;6;th;7;Saturday;SAT;S;158;1;23;23;June;JUN;J;2;Second;Qtr 2;1;0;6;Sobota;Czerwiec;23;20200605;20200608;20200607;20200608;20200607;SUN;0;20200607;0;0;0;NULL;20200601;20200601;20200615;43988;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20210223;2021-02-23;2021;2021;02.2021;T8-2021;Q1-2021;2;23;rd;3;Tuesday;TUE;T;54;4;9;8;February;FEB;F;1;First;Qtr 1;0;0;2;Wtorek;Luty;9;20210222;20210224;20210224;20210224;20210224;WED;0;20210224;0;0;0;0;20210216;20210216;20210228;44250;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20201112;2020-11-12;2020;2020;11.2020;T46-2020;Q4-2020;11;12;th;5;Thursday;THU;T;317;2;46;46;November;NOV;N;4;Fourth;Qtr 4;0;0;4;Czwartek;Listopad;46;20201110;20201113;20201113;20201113;20201113;FRI;0;20201113;0;0;0;NULL;20201101;20201101;20201115;44147;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20210529;2021-05-29;2021;2021;05.2021;T21-2021;Q2-2021;5;29;th;7;Saturday;SAT;S;149;5;22;21;May;MAY;M;2;Second;Qtr 2;1;0;6;Sobota;Maj;22;20210528;20210531;20210530;20210531;20210530;SUN;0;20210530;0;0;0;0;20210516;20210516;20210531;44345;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20210820;2021-08-20;2021;2021;08.2021;T33-2021;Q3-2021;8;20;th;6;Friday;FRI;F;232;3;34;33;August;AUG;A;3;Third;Qtr 3;0;0;5;Piątek;Sierpień;34;20210819;20210823;20210822;20210821;20210822;SUN;0;20210822;0;0;0;0;20210816;20210816;20210831;44428;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
